Day of Tanggal,drilldownGeographic,Persentase_total_vaksin1_pendidik,Persentase_total_vaksin1_pendidik_kumulatif,Running Sum of TotalDivaksin1PerProvinsi/1000,Running Sum of Divaksin 1,Divaksin 1
"March 3, 2021",Aceh,0,0.003215934,0.006,6,0
"March 5, 2021",Aceh,0,0.003751923,0.007,7,0
"May 17, 2021",Aceh,0,0.439510964,0.82,820,0
"February 8, 2021",Aceh,0.000535989,0.000535989,0.001,1,1
"February 16, 2021",Aceh,0.000535989,0.001071978,0.002,2,1
"February 18, 2021",Aceh,0.000535989,0.001607967,0.003,3,1
"February 19, 2021",Aceh,0.000535989,0.002143956,0.004,4,1
"February 22, 2021",Aceh,0.000535989,0.002679945,0.005,5,1
"February 23, 2021",Aceh,0.000535989,0.003215934,0.006,6,1
"March 4, 2021",Aceh,0.000535989,0.003751923,0.007,7,1
"March 8, 2021",Aceh,0.000535989,0.004287912,0.008,8,1
"March 10, 2021",Aceh,0.000535989,0.005895879,0.011,11,1
"March 11, 2021",Aceh,0.000535989,0.006431868,0.012,12,1
"March 18, 2021",Aceh,0.000535989,0.015543680,0.029,29,1
"April 2, 2021",Aceh,0.000535989,0.122205487,0.228,228,1
"April 3, 2021",Aceh,0.000535989,0.122741476,0.229,229,1
"May 22, 2021",Aceh,0.000535989,0.472206291,0.881,881,1
"May 29, 2021",Aceh,0.000535989,0.725193090,1.353,"1,353",1
"May 30, 2021",Aceh,0.000535989,0.725729079,1.354,"1,354",1
"June 1, 2021",Aceh,0.000535989,0.742880726,1.386,"1,386",1
"March 9, 2021",Aceh,0.001071978,0.005359890,0.01,10,2
"March 12, 2021",Aceh,0.001071978,0.007503846,0.014,14,2
"April 14, 2021",Aceh,0.001071978,0.248698887,0.464,464,2
"April 24, 2021",Aceh,0.001071978,0.352144760,0.657,657,2
"May 4, 2021",Aceh,0.001071978,0.411639537,0.768,768,2
"May 11, 2021",Aceh,0.001071978,0.439510964,0.82,820,2
"March 15, 2021",Aceh,0.001607967,0.009111813,0.017,17,3
"March 24, 2021",Aceh,0.001607967,0.034839284,0.065,65,3
"April 15, 2021",Aceh,0.001607967,0.250306854,0.467,467,3
"May 7, 2021",Aceh,0.001607967,0.432007118,0.806,806,3
"May 8, 2021",Aceh,0.001607967,0.433615085,0.809,809,3
"July 20, 2021",Aceh,0.001607967,11.432644945,21.33,"21,330",3
"March 16, 2021",Aceh,0.002143956,0.011255769,0.021,21,4
"March 22, 2021",Aceh,0.002143956,0.029479394,0.055,55,4
"April 1, 2021",Aceh,0.002143956,0.121669498,0.227,227,4
"April 5, 2021",Aceh,0.002143956,0.124885432,0.233,233,4
"April 13, 2021",Aceh,0.002143956,0.247626909,0.462,462,4
"April 16, 2021",Aceh,0.002143956,0.252450810,0.471,471,4
"April 30, 2021",Aceh,0.002143956,0.407351625,0.76,760,4
"May 3, 2021",Aceh,0.003215934,0.410567559,0.766,766,6
"March 17, 2021",Aceh,0.003751923,0.015007691,0.028,28,7
"March 23, 2021",Aceh,0.003751923,0.033231317,0.062,62,7
"May 20, 2021",Aceh,0.003751923,0.465238435,0.868,868,7
"April 27, 2021",Aceh,0.004287912,0.370904374,0.692,692,8
"May 6, 2021",Aceh,0.004823901,0.430399151,0.803,803,9
"May 10, 2021",Aceh,0.004823901,0.438438986,0.818,818,9
"April 10, 2021",Aceh,0.005359890,0.238515096,0.445,445,10
"April 23, 2021",Aceh,0.005359890,0.351072782,0.655,655,10
"March 27, 2021",Aceh,0.005895879,0.071286534,0.133,133,11
"May 21, 2021",Aceh,0.006431868,0.471670302,0.88,880,12
"April 12, 2021",Aceh,0.006967857,0.245482953,0.458,458,13
"May 24, 2021",Aceh,0.010183791,0.482390082,0.9,900,19
"March 25, 2021",Aceh,0.010719780,0.045559063,0.085,85,20
"May 18, 2021",Aceh,0.010719780,0.450230743,0.84,840,20
"August 1, 2021",Aceh,0.010719780,12.176597649,22.718,"22,718",20
"April 29, 2021",Aceh,0.011255769,0.405207669,0.756,756,21
"May 19, 2021",Aceh,0.011255769,0.461486512,0.861,861,21
"June 27, 2021",Aceh,0.011255769,7.863494327,14.671,"14,671",21
"March 19, 2021",Aceh,0.011791758,0.027335438,0.051,51,22
"March 31, 2021",Aceh,0.012327747,0.119525543,0.223,223,23
"May 5, 2021",Aceh,0.013935713,0.425575250,0.794,794,26
"April 26, 2021",Aceh,0.014471702,0.366616462,0.684,684,27
"March 29, 2021",Aceh,0.015007691,0.086294226,0.161,161,28
"July 11, 2021",Aceh,0.015007691,9.922763988,18.513,"18,513",28
"April 22, 2021",Aceh,0.015543680,0.345712892,0.645,645,29
"May 28, 2021",Aceh,0.015543680,0.724657101,1.352,"1,352",29
"June 20, 2021",Aceh,0.015543680,6.333781777,11.817,"11,817",29
"May 31, 2021",Aceh,0.016615658,0.742344737,1.385,"1,385",31
"April 7, 2021",Aceh,0.017687636,0.166692573,0.311,311,33
"March 26, 2021",Aceh,0.019831592,0.065390656,0.122,122,37
"April 19, 2021",Aceh,0.019831592,0.272282402,0.508,508,37
"March 30, 2021",Aceh,0.020903570,0.107197796,0.2,200,39
"April 21, 2021",Aceh,0.020903570,0.330169212,0.616,616,39
"April 28, 2021",Aceh,0.023047526,0.393951900,0.735,735,43
"July 21, 2021",Aceh,0.023047526,11.455692471,21.373,"21,373",43
"April 6, 2021",Aceh,0.024119504,0.149004936,0.278,278,45
"July 18, 2021",Aceh,0.025191482,11.390837804,21.252,"21,252",47
"April 8, 2021",Aceh,0.027871427,0.194564000,0.363,363,52
"July 30, 2021",Aceh,0.030551372,12.092983368,22.562,"22,562",57
"June 19, 2021",Aceh,0.031623350,6.318238097,11.788,"11,788",59
"July 4, 2021",Aceh,0.032159339,8.847570094,16.507,"16,507",60
"April 20, 2021",Aceh,0.036983240,0.309265641,0.577,577,69
"April 9, 2021",Aceh,0.038591207,0.233155206,0.435,435,72
"June 2, 2021",Aceh,0.039663185,0.782543911,1.46,"1,460",74
"July 19, 2021",Aceh,0.040199174,11.431036978,21.327,"21,327",75
"June 13, 2021",Aceh,0.048774997,4.954682132,9.244,"9,244",91
"May 25, 2021",Aceh,0.053598898,0.535988980,1,"1,000",100
"July 22, 2021",Aceh,0.056278843,11.511971314,21.478,"21,478",105
"July 25, 2021",Aceh,0.057886810,11.733870752,21.892,"21,892",108
"July 29, 2021",Aceh,0.063782689,12.062431996,22.505,"22,505",119
"July 23, 2021",Aceh,0.064318678,11.576289991,21.598,"21,598",120
"July 31, 2021",Aceh,0.072894501,12.165877870,22.698,"22,698",136
"July 26, 2021",Aceh,0.078790380,11.812661132,22.039,"22,039",147
"June 29, 2021",Aceh,0.086294226,8.103617390,15.119,"15,119",161
"June 18, 2021",Aceh,0.087902193,6.286614747,11.729,"11,729",164
"July 27, 2021",Aceh,0.091118127,11.903779258,22.209,"22,209",170
"July 28, 2021",Aceh,0.094870049,11.998649308,22.386,"22,386",177
"July 24, 2021",Aceh,0.099693950,11.675983942,21.784,"21,784",186
"July 3, 2021",Aceh,0.100765928,8.815410755,16.447,"16,447",188
"June 12, 2021",Aceh,0.106125818,4.905907135,9.153,"9,153",198
"July 17, 2021",Aceh,0.108805763,11.365646322,21.205,"21,205",203
"July 10, 2021",Aceh,0.117917576,9.907756297,18.485,"18,485",220
"June 25, 2021",Aceh,0.123813454,7.458286658,13.915,"13,915",231
"July 9, 2021",Aceh,0.145789003,9.789838721,18.265,"18,265",272
"July 2, 2021",Aceh,0.146860981,8.714644827,16.259,"16,259",274
"June 28, 2021",Aceh,0.153828837,8.017323164,14.958,"14,958",287
"June 6, 2021",Aceh,0.155436804,1.664245783,3.105,"3,105",290
"June 30, 2021",Aceh,0.168836529,8.272453918,15.434,"15,434",315
"May 27, 2021",Aceh,0.173124441,0.709113421,1.323,"1,323",323
"June 22, 2021",Aceh,0.180092297,6.707366097,12.514,"12,514",336
"July 7, 2021",Aceh,0.188668121,9.438765939,17.61,"17,610",352
"July 5, 2021",Aceh,0.190812077,9.038382171,16.863,"16,863",356
"June 21, 2021",Aceh,0.193492022,6.527273799,12.178,"12,178",361
"June 4, 2021",Aceh,0.198315923,1.202759271,2.244,"2,244",370
"June 16, 2021",Aceh,0.203139823,5.943581800,11.089,"11,089",379
"July 8, 2021",Aceh,0.205283779,9.644049718,17.993,"17,993",383
"July 6, 2021",Aceh,0.211715647,9.250097818,17.258,"17,258",395
"June 3, 2021",Aceh,0.221899438,1.004443349,1.874,"1,874",414
"June 24, 2021",Aceh,0.232619217,7.334473203,13.684,"13,684",434
"July 12, 2021",Aceh,0.240123063,10.162887051,18.961,"18,961",448
"July 16, 2021",Aceh,0.243338997,11.256840559,21.002,"21,002",454
"June 17, 2021",Aceh,0.255130755,6.198712554,11.565,"11,565",476
"June 15, 2021",Aceh,0.256738721,5.740441977,10.71,"10,710",479
"July 15, 2021",Aceh,0.279786248,11.013501562,20.548,"20,548",522
"July 13, 2021",Aceh,0.280858226,10.443745277,19.485,"19,485",524
"July 14, 2021",Aceh,0.289970038,10.733715315,20.026,"20,026",541
"July 1, 2021",Aceh,0.295329928,8.567783846,15.985,"15,985",551
"June 5, 2021",Aceh,0.306049708,1.508808979,2.815,"2,815",571
"June 26, 2021",Aceh,0.393951900,7.852238558,14.65,"14,650",735
"June 23, 2021",Aceh,0.394487889,7.101853986,13.25,"13,250",736
"June 10, 2021",Aceh,0.398775801,4.286839863,7.998,"7,998",744
"June 9, 2021",Aceh,0.447014809,3.888064061,7.254,"7,254",834
"June 11, 2021",Aceh,0.512941454,4.799781316,8.955,"8,955",957
"June 14, 2021",Aceh,0.529021123,5.483703255,10.231,"10,231",987
"June 8, 2021",Aceh,0.802911492,3.441049252,6.42,"6,420","1,498"
"June 7, 2021",Aceh,0.973891977,2.638137760,4.922,"4,922","1,817"
"April 15, 2021",Bali,0,22.821601579,19.08,"19,080",0
"April 24, 2021",Bali,0,27.865558280,23.297,"23,297",0
"April 25, 2021",Bali,0,27.865558280,23.297,"23,297",0
"May 14, 2021",Bali,0,31.667962442,26.476,"26,476",0
"August 1, 2021",Bali,0,35.528975540,29.704,"29,704",0
"March 15, 2021",Bali,0.001196101,2.595538544,2.17,"2,170",1
"May 26, 2021",Bali,0.001196101,32.800669816,27.423,"27,423",1
"June 6, 2021",Bali,0.001196101,33.146342922,27.712,"27,712",1
"February 26, 2021",Bali,0.002392201,0.002392201,0.002,2,2
"March 1, 2021",Bali,0.002392201,0.015549309,0.013,13,2
"April 13, 2021",Bali,0.002392201,22.821601579,19.08,"19,080",2
"May 30, 2021",Bali,0.002392201,32.926260391,27.528,"27,528",2
"June 1, 2021",Bali,0.002392201,32.975300520,27.569,"27,569",2
